stimuli,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_practice.keys,key_resp_practice.rt,key_resp_trial.keys,key_resp_trial.rt,date,frameRate,expName,session,participant,
final_10_0.wav,0,0,0,7,,,,,right,1.13372898102,,,2014_oct_23_2305,59.8447630353,beat_2AFC,001,,
final_3_6.wav,0,1,1,3,,,,,left,0.733801841736,,,2014_oct_23_2305,59.8447630353,beat_2AFC,001,,
final_7_6.wav,0,2,2,4,,,,,right,1.01713299751,,,2014_oct_23_2305,59.8447630353,beat_2AFC,001,,
final_1_10.wav,0,3,3,1,,,,,left,0.665345907211,,,2014_oct_23_2305,59.8447630353,beat_2AFC,001,,
final_2_5.wav,0,4,4,2,,,,,left,0.78302192688,,,2014_oct_23_2305,59.8447630353,beat_2AFC,001,,
final_9_10.wav,0,5,5,6,,,,,right,0.766878843307,,,2014_oct_23_2305,59.8447630353,beat_2AFC,001,,
final_8_5.wav,0,6,6,5,,,,,right,0.933295965195,,,2014_oct_23_2305,59.8447630353,beat_2AFC,001,,
final_0_0.wav,0,7,7,0,,,,,left,0.666033983231,,,2014_oct_23_2305,59.8447630353,beat_2AFC,001,,
final_0_0.wav,,,,,0,0,0,0,,,left,0.884873151779,2014_oct_23_2305,59.8447630353,beat_2AFC,001,,
final_4_8.wav,,,,,0,1,1,52,,,left,0.834729909897,2014_oct_23_2305,59.8447630353,beat_2AFC,001,,
final_4_2.wav,,,,,0,2,2,46,,,left,0.716745138168,2014_oct_23_2305,59.8447630353,beat_2AFC,001,,
final_1_2.wav,,,,,0,3,3,13,,,left,0.582511901855,2014_oct_23_2305,59.8447630353,beat_2AFC,001,,
final_9_7.wav,,,,,0,4,4,106,,,right,0.835523843765,2014_oct_23_2305,59.8447630353,beat_2AFC,001,,
final_7_1.wav,,,,,0,5,5,78,,,right,1.13127303123,2014_oct_23_2305,59.8447630353,beat_2AFC,001,,
final_8_8.wav,,,,,0,6,6,96,,,right,1.18496108055,2014_oct_23_2305,59.8447630353,beat_2AFC,001,,
